State,Set 1,Count 1,Set 2,Count 2,Set 3,Count 3
Karnataka,"56,58,57,59",4,"05,71,14,62,22,51,21,16,72,45,76,15,73,32,01,61,42,12,52,74,18,43,54,31,41,17,02,70,53,11,75,50,13,00",34,"91,84,14,66,62,93,72,65,86,32,81,82,46,35,18,29,09,48,24,54,17,39,70,77,89,03,44,05,69,68,59,10,49,21,25,96,42,28,94,52,40,06,74,98,38,85,47,97,90,67,58,50,04,95,36,26,60,79,22,20,16,45,76,80,15,73,01,99,43,63,08,53,11,75,27,64,57,71,56,51,34,30,88,92,61,19,07,78,12,83,23,31,41,02,33,87,55,37,13",99
Kerala,"67,69,68",3,"95,05,91,36,60,66,56,10,51,20,93,16,65,25,80,86,15,30,01,81,61,96,07,35,06,85,23,31,03,63,97,33,87,55,53,11,67,50,13,00",40,"91,84,14,66,62,93,72,65,86,32,81,82,46,35,18,29,09,48,24,54,17,39,70,77,89,03,44,00,05,69,68,59,10,49,21,25,96,42,28,94,52,06,74,40,98,38,85,47,97,90,67,58,50,04,95,26,36,60,79,20,22,16,45,76,80,15,73,01,99,43,63,08,53,11,75,27,64,57,71,56,51,34,30,88,92,61,19,07,78,12,83,23,31,41,02,33,87,55,37,13",100
Lakshdweep,68,1,25,1,"57,59,56,55,58",5
Madhya Pradesh,"46,47,48,45",4,"84,14,66,62,72,65,86,32,81,82,46,35,18,09,48,24,54,17,39,70,77,89,03,00,44,05,68,10,49,21,25,42,52,06,74,40,38,85,47,67,58,50,04,36,60,79,20,22,16,45,76,80,15,73,01,43,63,08,53,11,75,64,57,71,56,51,34,30,19,61,78,07,12,83,23,31,41,02,33,55,37,13",82,"91,84,14,66,62,93,72,65,86,32,81,82,46,35,18,29,09,48,24,54,17,39,70,77,89,03,44,05,69,68,59,10,49,21,25,96,42,28,94,52,06,74,40,38,85,47,97,90,67,58,50,04,95,36,26,60,22,20,79,16,45,76,80,15,73,01,99,43,63,08,53,11,75,27,64,57,71,56,51,34,30,88,92,61,19,07,78,12,83,23,31,41,02,33,87,55,37,13",98
Maharashtra,"41,40,43,42,44",5,"05,57,26,36,14,66,60,68,56,50,10,62,49,51,22,20,34,21,16,45,65,25,80,15,30,32,01,19,46,42,61,28,12,07,35,52,40,06,18,43,29,38,48,24,54,23,31,41,03,17,63,47,02,39,33,55,67,53,11,37,44,58,27,13,64,00,04",67,"91,84,14,66,62,93,72,65,86,32,81,82,46,35,18,29,09,48,24,54,17,39,70,77,89,03,44,05,69,68,59,10,49,21,25,96,42,28,94,52,06,74,98,40,38,85,47,97,90,67,58,50,04,95,36,26,60,22,20,79,16,45,76,80,15,01,99,43,63,08,53,11,75,27,64,57,71,56,51,34,30,88,92,19,61,07,78,12,83,23,31,41,02,33,87,55,37,13",98
Manipur,79,1,"51,50",2,"05,26,36,50,10,22,51,20,34,21,16,45,25,15,30,01,32,46,42,28,35,06,40,43,29,38,24,23,31,41,39,02,47,33,37,11,58,27,03,44,04",41
Meghalaya,79,1,"41,40,30,31",4,"05,14,10,22,20,21,25,01,19,07,12,06,09,03,02,08,11,50,13,04",20
Mizoram,79,1,"65,63,69,60,66,67,62,64,61",9,"05,91,71,10,51,21,25,15,30,01,81,61,07,12,29,09,31,41,17,70,90,11",22
Nagaland,79,1,"71,70,86",3,"05,26,14,10,22,20,21,16,25,15,30,01,32,19,07,28,12,06,18,13,29,09,24,23,31,17,02,08,11,27,03,04",32
Orissa,"77,76,75",3,"91,71,60,10,22,20,21,80,30,81,61,42,82,12,40,41,70,90,11,50,00",21,"91,84,14,66,62,93,72,65,86,32,81,82,46,35,18,29,09,48,24,54,17,39,70,77,89,03,44,05,69,68,59,10,49,21,25,96,42,28,94,52,40,74,06,38,85,47,90,67,58,50,04,95,36,26,60,22,20,79,16,45,76,80,15,73,01,43,63,08,53,11,75,27,64,57,71,56,51,34,30,88,92,19,61,07,78,12,83,23,31,41,02,33,87,55,37,13",96
